,fold,model,accuracy,f1,recall,time,training_error,testing_error
0,0,Proto_Net+disto_pl,0.9215381718911795,0.9211301809840606,0.9215381718911795,945.0936350822449,6.568246872916912,7.8461828108820475
0,0,Proto_Net+disto,0.922479525557752,0.9221858457993736,0.922479525557752,509.928998708725,6.5188409206759985,7.752047444224795
0,0,Proto_Net+pl,0.9215695503467319,0.9216802834182936,0.9215695503467319,343.20127630233765,6.485511508449986,7.843044965326806
0,0,Proto_Net,0.9222128086855566,0.9221965887442803,0.9222128086855566,308.2190659046173,6.426302787907305,7.77871913144435
0,0,Net,0.9224952147855282,0.9224075304482232,0.9224952147855282,75.8027126789093,6.861153589773752,7.750478521447174
0,0,Logistic Regression,0.9194828830524961,0.9191435073235751,0.9194828830524961,442.17568707466125,7.59675332313845,8.051711694750384
0,0,KNN,0.8934544541717656,0.8924655544482706,0.8934544541717656,0.19675683975219727,0.07662627926126342,0.10654554582823439
0,1,Proto_Net+disto_pl,0.9229188239354859,0.9227474839928042,0.9229188239354859,1133.162649154663,6.558051993883073,7.7081176064514105
0,1,Proto_Net+disto,0.9214754149800747,0.9212585833072414,0.9214754149800747,323.45923495292664,6.505509155785594,7.8524585019925315
0,1,Proto_Net+pl,0.9224481471021996,0.9222048159736003,0.9224481471021996,343.04357504844666,6.500019605536604,7.755185289780036
0,1,Proto_Net,0.9211302519689981,0.9209639817094971,0.9211302519689981,308.5676529407501,6.465121750382307,7.886974803100191
0,1,Net,0.9225109040133045,0.9222894080323639,0.9225109040133045,75.96189904212952,6.849782378543701,7.748909598669554
0,1,Logistic Regression,0.9180080956415325,0.9174987216429694,0.9180080956415325,437.90637588500977,7.6300827353644625,8.199190435846749
0,1,KNN,0.8935642787661991,0.8926436729859947,0.8935642787661991,0.2045578956604004,0.0770497588518998,0.10643572123380085
0,2,Proto_Net+disto_pl,0.921726442624494,0.9212408662397317,0.921726442624494,1136.5883300304413,6.630592479316159,7.827355737550598
0,2,Proto_Net+disto,0.9223383225077662,0.9219529661821224,0.9223383225077662,327.2941629886627,6.507469709445947,7.766167749223383
0,2,Proto_Net+pl,0.9224638363299759,0.9223442275517555,0.9224638363299759,346.8370912075043,6.531780574834334,7.753616367002417
0,2,Proto_Net,0.922479525557752,0.9221604594260279,0.922479525557752,311.26677918434143,6.52433047092499,7.752047444224795
0,2,Net,0.9214440365245222,0.9213714405820645,0.9214440365245222,79.97875213623047,6.853703485864409,7.855596347547773
0,2,Logistic Regression,0.9192161661803006,0.9187154302074072,0.9192161661803006,442.11905097961426,7.657922597341493,8.078383381969944
0,2,KNN,0.8929367096551508,0.891924941828698,0.8929367096551508,0.256572961807251,0.07631651178292753,0.10706329034484918
0,3,Proto_Net+disto_pl,0.9213342119300888,0.9212017997216748,0.9213342119300888,1146.8824820518494,6.579225973414893,7.86657880699112
0,3,Proto_Net+disto,0.922102984091123,0.9219113111891472,0.922102984091123,337.9141309261322,6.501195937732816,7.789701590887696
0,3,Proto_Net+pl,0.9219304025855848,0.9218085134236864,0.9219304025855848,357.09270787239075,6.563541544132064,7.806959741441526
0,3,Proto_Net,0.922102984091123,0.9220613496585135,0.922102984091123,323.2368597984314,6.468650746970944,7.789701590887696
0,3,Net,0.9214440365245222,0.9212345405395185,0.9214440365245222,83.67323899269104,6.900756773712896,7.855596347547773
0,3,Logistic Regression,0.9182434340581757,0.9178870086532148,0.9182434340581757,436.6899588108063,7.637924950005881,8.175656594182435
0,3,KNN,0.8933446295773322,0.892277330150192,0.8933446295773322,0.21700406074523926,0.07758695055483666,0.10665537042266782
0,4,Proto_Net+disto_pl,0.9214754149800747,0.9211523143934139,0.9214754149800747,1136.3488190174103,6.526291024585343,7.8524585019925315
0,4,Proto_Net+disto,0.921726442624494,0.9214816190841043,0.921726442624494,327.7908480167389,6.557267772418932,7.827355737550598
0,4,Proto_Net+pl,0.9211773196523267,0.9211011384077379,0.9211773196523267,347.3041920661926,6.50394071285731,7.882268034767328
0,4,Proto_Net,0.920894913552355,0.9206504150087084,0.920894913552355,312.0946731567383,6.472963965023723,7.910508644764505
0,4,Net,0.9205654397690546,0.920221621398791,0.9205654397690546,79.70119500160217,6.787828882876525,7.9434560230945435
0,4,Logistic Regression,0.9179296495026514,0.9175815112958331,0.9179296495026514,440.2947208881378,7.629690624632401,8.207035049734856
0,4,KNN,0.8912108945997678,0.8902248975444405,0.8912108945997678,0.25888895988464355,0.0766223581539427,0.10878910540023223
