,fold,model,accuracy,f1,recall,time,training_error,testing_error
0,0,Proto_Net+disto_pl,0.9232326084910101,0.9229720434607092,0.9232326084910101,337.9115250110626,6.53530957142297,7.676739150898992
0,0,Proto_Net+disto,0.9225109040133045,0.9221120891668372,0.9225109040133045,310.62593817710876,6.510606595302513,7.748909598669554
0,0,Proto_Net+pl,0.9225893501521855,0.9223728502428862,0.9225893501521855,322.40940499305725,6.469827079167157,7.74106498478145
0,0,Proto_Net,0.923750353007625,0.9234350933888202,0.923750353007625,298.30688214302063,6.5188409206759985,7.624964699237504
0,0,Net,0.9238287991465061,0.9236769779467509,0.9238287991465061,70.67363595962524,6.818805630710112,7.617120085349399
0,0,Logistic Regression,0.9194358153691675,0.9190962574940882,0.9194358153691675,424.2956449985504,7.63282751048896,8.056418463083247
0,0,KNN,0.8923718974552073,0.8913873293911234,0.8923718974552073,0.17571496963500977,0.0767713602321296,0.10762810254479271
0,1,Proto_Net+disto_pl,0.9220872948633468,0.9217866030457504,0.9220872948633468,333.16092920303345,6.510606595302513,7.791270513665317
0,1,Proto_Net+disto,0.9224481471021996,0.922251027057623,0.9224481471021996,309.3283348083496,6.623926596870956,7.755185289780036
0,1,Proto_Net+pl,0.9210988735134457,0.9209867246805487,0.9210988735134457,320.2566089630127,6.445908324510842,7.890112648655433
0,1,Proto_Net,0.9221657410022279,0.9218842447529086,0.9221657410022279,294.74818992614746,6.443163549386346,7.783425899777213
0,1,Net,0.9237346637798488,0.9235318091389216,0.9237346637798488,71.27703499794006,6.835666392189155,7.626533622015125
0,1,Logistic Regression,0.9186356647525808,0.9181962537843649,0.9186356647525808,422.34342098236084,7.626553738775832,8.136433524741914
0,1,KNN,0.8941290909661427,0.8932166754620262,0.8941290909661427,0.18044114112854004,0.0765596204368113,0.10587090903385732
0,2,Proto_Net+disto_pl,0.9223069440522137,0.92204501992042,0.9223069440522137,365.9594337940216,6.529427910441908,7.769305594778625
0,2,Proto_Net+disto,0.9217891995355989,0.9214902453544566,0.9217891995355989,341.5065212249756,6.570991648041407,7.821080046440114
0,2,Proto_Net+pl,0.9222441871411089,0.922129971212717,0.9222441871411089,352.3624620437622,6.417676351801749,7.775581285889109
0,2,Proto_Net,0.921946091813361,0.9216389071998053,0.921946091813361,328.12156891822815,6.399639258126495,7.805390818663906
0,2,Net,0.9232953654021149,0.9230341194639076,0.9232953654021149,75.94224309921265,6.885072344430067,7.670463459788509
0,2,Logistic Regression,0.9198123568357965,0.9193380354702592,0.9198123568357965,421.04048204421997,7.618711524134413,8.018764316420345
0,2,KNN,0.8928739527440459,0.8918417881334517,0.8928739527440459,0.17177200317382812,0.07646943496843506,0.1071260472559541
0,3,Proto_Net+disto_pl,0.9216009288022844,0.9215404860582125,0.9216009288022844,338.57329988479614,6.64157157981414,7.839907119771565
0,3,Proto_Net+disto,0.9225893501521855,0.9224022915925002,0.9225893501521855,311.9247739315033,6.555699329490648,7.74106498478145
0,3,Proto_Net+pl,0.9219931594966896,0.9219885477210773,0.9219931594966896,322.8082571029663,6.500803827000745,7.800684050331043
0,3,Proto_Net,0.922401079418871,0.9221583755845681,0.922401079418871,299.18673491477966,6.431792338156295,7.759892058112899
0,3,Net,0.9210674950578932,0.920948669194466,0.9210674950578932,70.69049906730652,6.804297533623495,7.893250494210675
0,3,Logistic Regression,0.9186513539803571,0.9183125126407486,0.9186513539803571,419.80196809768677,7.6300827353644625,8.134864601964287
0,3,KNN,0.8935956572217515,0.892560078537779,0.8935956572217515,0.17831182479858398,0.07631651178292753,0.1064043427782485
0,4,Proto_Net+disto_pl,0.9220088487244658,0.9219581908163075,0.9220088487244658,338.3451941013336,6.516096145551503,7.799115127553422
0,4,Proto_Net+disto,0.9220716056355707,0.9218760481981185,0.9220716056355707,313.5429422855377,6.597655177822218,7.7928394364429385
0,4,Proto_Net+pl,0.9216323072578367,0.9215220663208736,0.9216323072578367,324.1934630870819,6.418852683997961,7.836769274216324
0,4,Proto_Net,0.9213969688411936,0.9212436391382551,0.9213969688411936,299.0688941478729,6.449829431831549,7.860303115880636
0,4,Net,0.9223853901910948,0.9219910400629288,0.9223853901910948,71.50237989425659,6.836058502921224,7.76146098089052
0,4,Logistic Regression,0.917662932630456,0.9173390253699171,0.917662932630456,417.76402401924133,7.592047994353601,8.233706736954405
0,4,KNN,0.8925287897329693,0.8915980969608543,0.8925287897329693,0.16824889183044434,0.07706152217386186,0.10747121026703066
